seg,freq
项目,1236
加班,1054
公司,1001
程序员,772
工作,663
打卡,613
参与,583
一下,515
下班,459
抵制,371
工人,343
广告,334
打广告,306
欢迎,289
前端,281
现在,278
中国,273
已经,269
工资,268
时间,260
支持,246
加入,241
参加,240
生活,240
事情,237
这种,219
小时,217
老板,210
程序,209
工会,197
交流,194
吐槽,181
希望,179
拒绝,179
开源,178
516,169
路过,168
开发,167
知道,167
应该,163
需要,163
留名,162
问题,161
火钳,159
一起,150
人工智能,149
刘明,143
上班,141
技术,140
965,137
扫码,137
前来,135
身体,134
企业,132
国家,132
建议,132
世界,131
Android,130
加油,130
看到,128
资产阶级,126
法律,125
行业,125
目前,123
http,121
杭州,121
资本家,121
互联网,119
以后,119
反对,119
司马,119
这是,119
Star,117
围观,117
第一次,117
net,116
劳动法,116
cn,114
21030334,113
每天,112
北京,111
学习,111
一定,110
今天,109
大佬,107
组织,104
深圳,103
社会,102
一天,101
劳动,101
工程师,101
领导,101
开发者,100
加班费,99
哈哈哈,99
工作制,99
微信,99
历史,98
blog,97
成为,96
